atm_id,atm_name,latitude,longitude,area_type,city,monthly_transactions,avg_withdrawal_amount,atm_status,last_used_days_ago,data_source,location_data_quality,anchor_latitude,anchor_longitude,linkage_type,distance_method,atm_density_1km
ATM00040,Shivaji Nagar,18.528472147045296,73.84971496749463,Mixed,Pune,127,2937,Active,21,synthetic_expanded,synthetic_approximate,18.53,73.85,synthetic,unavailable_without_transaction_coordinates,1081
ATM00041,Kothrud,18.506623191834386,73.80612273099928,Commercial,Pune,1992,4047,Active,101,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,950
ATM00042,Viman Nagar,18.56802427666222,73.91280617331041,Mixed,Pune,1312,3035,Active,24,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,1010
ATM00043,Viman Nagar,18.568803198900298,73.91554275205037,Commercial,Pune,867,3637,Active,16,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,1005
ATM00044,Kothrud,18.509019970343722,73.80832387576248,IT Hub,Pune,2603,1684,Active,24,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,947
ATM00045,Camp,18.51627186049815,73.85837960906981,IT Hub,Pune,317,2847,Active,5,synthetic_expanded,synthetic_approximate,18.5167,73.8567,synthetic,unavailable_without_transaction_coordinates,1014
ATM00046,Aundh,18.557476210214723,73.809362945872,Mixed,Pune,470,3963,Active,20,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,990
ATM00047,Kothrud,18.505771674337087,73.80840880675875,IT Hub,Pune,0,3617,Active,6,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,942
ATM00048,Viman Nagar,18.566384646123876,73.91401723653787,Mixed,Pune,903,2396,Active,86,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,1001
ATM00049,Kothrud,18.50816151503101,73.8059839363753,IT Hub,Pune,0,3493,Active,23,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,939
ATM00050,Swargate,18.50270597987927,73.864846096453,Residential,Pune,0,2031,Active,7,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,1005
ATM00051,Aundh,18.55712863909909,73.806133328557,IT Hub,Pune,163,4363,Active,22,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,987
ATM00052,Viman Nagar,18.569239480564306,73.91340114391559,Mixed,Pune,4544,1989,Active,32,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,996
ATM00053,Camp,18.51592034371785,73.85511686200718,Commercial,Pune,3557,2561,Active,31,synthetic_expanded,synthetic_approximate,18.5167,73.8567,synthetic,unavailable_without_transaction_coordinates,1014
ATM00054,Shivaji Nagar,18.53135132078267,73.84909339980607,Residential,Pune,1279,3719,Active,1,synthetic_expanded,synthetic_approximate,18.53,73.85,synthetic,unavailable_without_transaction_coordinates,953
ATM00055,Yerwada,18.563508729675682,73.87825032324761,Commercial,Pune,2855,3984,Active,17,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,960
ATM00056,Baner,18.56023559943906,73.7862,IT Hub,Pune,2834,2035,Active,9,synthetic_expanded,synthetic_approximate,18.559,73.7862,synthetic,unavailable_without_transaction_coordinates,972
ATM00057,Yerwada,18.561074496470823,73.87671535146676,Commercial,Pune,0,4583,Active,41,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,957
ATM00058,Yerwada,18.563949095201707,73.87609472015575,Mixed,Pune,2769,3308,Active,8,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,952
ATM00059,Shivaji Nagar,18.529572388366972,73.85167766869309,IT Hub,Pune,2447,3030,Active,19,synthetic_expanded,synthetic_approximate,18.53,73.85,synthetic,unavailable_without_transaction_coordinates,1065
ATM00060,Swargate,18.500279542685426,73.86331639395893,IT Hub,Pune,4294,2540,Active,1,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,977
ATM00061,Hadapsar,18.50736782660098,73.9232141967416,IT Hub,Pune,0,3340,Active,23,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,929
ATM00062,Yerwada,18.56217313278025,73.87867506782247,Mixed,Pune,433,1721,Active,33,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,948
ATM00063,Aundh,18.559508151958205,73.80831950733607,Residential,Pune,0,1114,Active,0,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,985
ATM00064,Swargate,18.503144314986713,73.86269824864132,Residential,Pune,0,1825,Active,7,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,1049
ATM00065,Hadapsar,18.510255413484686,73.9225907661838,Commercial,Pune,1381,2996,Active,4,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,927
ATM00066,Yerwada,18.56182277009779,73.8754213648507,Mixed,Pune,0,3116,Active,21,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,947
ATM00067,Viman Nagar,18.5674763486883,73.91596249994139,Commercial,Pune,0,2730,Active,22,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,992
ATM00068,Hinjewadi,18.59244931624745,73.73799442044928,Mixed,Pune,76,2982,Active,57,synthetic_expanded,synthetic_approximate,18.5911,73.7389,synthetic,unavailable_without_transaction_coordinates,950
ATM00069,Camp,18.518326149617362,73.85732628953349,Residential,Pune,0,4065,Active,14,synthetic_expanded,synthetic_approximate,18.5167,73.8567,synthetic,unavailable_without_transaction_coordinates,1058
ATM00070,Hinjewadi,18.590673058844775,73.74057563805579,Commercial,Pune,0,3892,Active,15,synthetic_expanded,synthetic_approximate,18.5911,73.7389,synthetic,unavailable_without_transaction_coordinates,947
ATM00071,Yerwada,18.56422088534343,73.87762442980821,Commercial,Pune,0,4467,Active,100,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,944
ATM00072,Yerwada,18.560970722432355,73.8777094502441,Mixed,Pune,0,3320,Active,39,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,938
ATM00073,Swargate,18.501374731668612,73.86526820010961,Mixed,Pune,0,3924,Active,12,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,971
ATM00074,Hinjewadi,18.590322629094825,73.73732081447874,Mixed,Pune,1734,3292,Active,1,synthetic_expanded,synthetic_approximate,18.5911,73.7389,synthetic,unavailable_without_transaction_coordinates,946
ATM00075,Swargate,18.501025819351305,73.86202811745672,Residential,Pune,3873,2679,Active,45,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,976
ATM00076,Swargate,18.503414269683002,73.86422166001364,Residential,Pune,0,4113,Active,20,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,1020
ATM00077,Swargate,18.500177604924655,73.86430620208503,IT Hub,Pune,1237,3378,Active,48,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,962
ATM00078,Swargate,18.50255865609591,73.86189043486958,Commercial,Pune,0,3300,Active,76,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,1022
ATM00079,Aundh,18.556283969397903,73.80840366262355,Commercial,Pune,801,2798,Active,58,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,980
ATM00080,Swargate,18.502345614034496,73.86543431236275,Residential,Pune,282,3229,Active,22,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,964
ATM00081,Aundh,18.55865558799925,73.80599678968983,IT Hub,Pune,658,2563,Active,7,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,979
ATM00082,Swargate,18.500195218857282,73.86261930818058,IT Hub,Pune,3481,4209,Active,4,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,951
ATM00083,Swargate,18.503641287904095,73.86317313493801,Residential,Pune,952,4198,Active,57,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,1039
ATM00084,Shivaji Nagar,18.529221350420947,73.84841878320367,IT Hub,Pune,380,5033,Active,30,synthetic_expanded,synthetic_approximate,18.53,73.85,synthetic,unavailable_without_transaction_coordinates,1007
ATM00085,Yerwada,18.563361973911988,73.87528234756233,Residential,Pune,0,3770,Active,7,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,936
ATM00086,Kothrud,18.50794772671481,73.80954147526776,Residential,Pune,1456,3641,Active,16,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,936
ATM00087,Baner,18.55800382223993,73.78716264123067,IT Hub,Pune,2888,1960,Active,25,synthetic_expanded,synthetic_approximate,18.559,73.7862,synthetic,unavailable_without_transaction_coordinates,966
ATM00088,Baner,18.559125056897493,73.78469687316266,Residential,Pune,0,2381,Active,5,synthetic_expanded,synthetic_approximate,18.559,73.7862,synthetic,unavailable_without_transaction_coordinates,958
ATM00089,Hadapsar,18.508471019438243,73.92518283187054,Commercial,Pune,0,3237,Active,8,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,923
ATM00090,Swargate,18.500698842496597,73.86525165098682,Commercial,Pune,0,2062,Active,58,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,946
ATM00091,Viman Nagar,18.567128903183214,73.91273377312919,Commercial,Pune,913,2044,Active,7,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,989
ATM00092,Swargate,18.50155030441565,73.86156809471503,Mixed,Pune,1991,1961,Active,44,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,974
ATM00093,Yerwada,18.563148065816183,73.87884321061888,Residential,Pune,2527,3686,Active,12,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,933
ATM00094,Viman Nagar,18.56950757900129,73.91491932291433,Residential,Pune,0,3616,Active,75,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,986
ATM00095,Shivaji Nagar,18.531623965474328,73.8506254969861,Mixed,Pune,2488,2333,Active,30,synthetic_expanded,synthetic_approximate,18.53,73.85,synthetic,unavailable_without_transaction_coordinates,955
ATM00096,Aundh,18.558443346789105,73.80952728963906,IT Hub,Pune,1659,3650,Active,33,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,977
ATM00097,Yerwada,18.560987829158808,73.87601444176659,Commercial,Pune,0,3462,Active,7,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,931
ATM00098,Swargate,18.50330671214728,73.86493907019499,Mixed,Pune,780,2483,Active,23,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,986
ATM00099,Viman Nagar,18.5662845654641,73.9150034443089,Mixed,Pune,0,4042,Active,0,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,981
ATM00100,Swargate,18.499804595640647,73.86368701364972,Residential,Pune,1999,2609,Active,23,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,939
ATM00101,Baner,18.55990962381403,73.78745152709035,Mixed,Pune,0,2584,Active,41,synthetic_expanded,synthetic_approximate,18.559,73.7862,synthetic,unavailable_without_transaction_coordinates,955
ATM00102,Viman Nagar,18.568655300655955,73.91259733761346,Commercial,Pune,335,2753,Active,10,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,980
ATM00103,Camp,18.515065245832524,73.85741164374873,Mixed,Pune,3787,3875,Active,12,synthetic_expanded,synthetic_approximate,18.5167,73.8567,synthetic,unavailable_without_transaction_coordinates,1022
ATM00104,Hadapsar,18.508118739725397,73.92191367731893,IT Hub,Pune,42,3376,Active,18,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,918
ATM00105,Shivaji Nagar,18.52836751806941,73.85071070986788,Commercial,Pune,1192,3720,Active,42,synthetic_expanded,synthetic_approximate,18.53,73.85,synthetic,unavailable_without_transaction_coordinates,1095
ATM00106,Shivaji Nagar,18.530763518626674,73.84827919395805,Commercial,Pune,2241,3375,Active,0,synthetic_expanded,synthetic_approximate,18.53,73.85,synthetic,unavailable_without_transaction_coordinates,944
ATM00107,Hadapsar,18.510529629639393,73.92412760120757,Mixed,Pune,1258,2855,Active,55,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,913
ATM00108,Baner,18.55747285561699,73.78591505130638,Commercial,Pune,337,3256,Active,4,synthetic_expanded,synthetic_approximate,18.559,73.7862,synthetic,unavailable_without_transaction_coordinates,949
ATM00109,Baner,18.560350649561702,73.78529369625846,Mixed,Pune,0,749,Active,3,synthetic_expanded,synthetic_approximate,18.559,73.7862,synthetic,unavailable_without_transaction_coordinates,945
ATM00110,Yerwada,18.564449956861587,73.87657097262938,Residential,Pune,1234,3474,Active,10,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,929
ATM00111,Viman Nagar,18.56844313444972,73.91612668259671,Mixed,Pune,1823,3208,Active,107,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,979
ATM00112,Yerwada,18.561493551966787,73.87866017682913,IT Hub,Pune,76,4058,Active,4,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,926
ATM00113,Hadapsar,18.507261625449484,73.92421318726875,Commercial,Pune,855,3387,Active,2,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,911
ATM00114,Swargate,18.50323396616906,73.86209523645523,Mixed,Pune,0,1682,Active,42,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,1029
ATM00115,Camp,18.517464613995,73.85497685925596,Residential,Pune,2965,1996,Active,2,synthetic_expanded,synthetic_approximate,18.5167,73.8567,synthetic,unavailable_without_transaction_coordinates,1061
ATM00116,Viman Nagar,18.566302692354597,73.91332349765275,IT Hub,Pune,1693,2827,Active,2,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,977
ATM00117,Aundh,18.556302052361218,73.80672316365255,IT Hub,Pune,3181,2970,Active,116,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,975
ATM00118,Hadapsar,18.509666359258855,73.92177300483961,Mixed,Pune,1957,1635,Active,31,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,910
ATM00119,Shivaji Nagar,18.530549207321044,73.85184669708869,Mixed,Pune,1381,3360,Active,4,synthetic_expanded,synthetic_approximate,18.53,73.85,synthetic,unavailable_without_transaction_coordinates,1000
ATM00120,Hinjewadi,18.592721191263472,73.73952465207908,Residential,Pune,2779,4299,Active,13,synthetic_expanded,synthetic_approximate,18.5911,73.7389,synthetic,unavailable_without_transaction_coordinates,943
ATM00121,Viman Nagar,18.56973252064103,73.9138750030962,IT Hub,Pune,2160,2770,Active,3,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,976
ATM00122,Aundh,18.55973327142611,73.80727485389362,Residential,Pune,3249,2686,Active,39,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,973
ATM00123,Yerwada,18.56234908218076,73.87495742228033,IT Hub,Pune,924,1932,Active,62,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,924
ATM00124,Aundh,18.556803734828325,73.8093448525865,IT Hub,Pune,0,2440,Active,66,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,969
ATM00125,Yerwada,18.56411421547073,73.87834621746768,Residential,Pune,0,1808,Active,10,synthetic_expanded,synthetic_approximate,18.5626,73.877,synthetic,unavailable_without_transaction_coordinates,922
ATM00126,Viman Nagar,18.566804193020772,73.91594426147677,Mixed,Pune,277,2398,Active,0,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,970
ATM00127,Camp,18.517250016770372,73.85854927501174,Residential,Pune,1717,3230,Active,10,synthetic_expanded,synthetic_approximate,18.5167,73.8567,synthetic,unavailable_without_transaction_coordinates,994
ATM00128,Hinjewadi,18.589470404173532,73.73960970746256,Commercial,Pune,1367,2311,Active,45,synthetic_expanded,synthetic_approximate,18.5911,73.7389,synthetic,unavailable_without_transaction_coordinates,937
ATM00129,Hadapsar,18.50945130647597,73.9253535267867,Residential,Pune,0,3696,Active,34,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,908
ATM00130,Hinjewadi,18.591862127333776,73.7371817144843,IT Hub,Pune,0,3601,Active,71,synthetic_expanded,synthetic_approximate,18.5911,73.7389,synthetic,unavailable_without_transaction_coordinates,935
ATM00131,Baner,18.55857261287725,73.78787707258934,Mixed,Pune,1774,2416,Active,46,synthetic_expanded,synthetic_approximate,18.559,73.7862,synthetic,unavailable_without_transaction_coordinates,943
ATM00132,Kothrud,18.505788851214284,73.80671538466625,Mixed,Pune,2578,2741,Active,2,synthetic_expanded,synthetic_approximate,18.5074,73.8077,synthetic,unavailable_without_transaction_coordinates,933
ATM00133,Swargate,18.501705390158108,73.86575754036633,Residential,Pune,1239,1917,Active,36,synthetic_expanded,synthetic_approximate,18.5018,73.8636,synthetic,unavailable_without_transaction_coordinates,937
ATM00134,Hinjewadi,18.591648179190983,73.74074390014233,Mixed,Pune,227,2517,Active,14,synthetic_expanded,synthetic_approximate,18.5911,73.7389,synthetic,unavailable_without_transaction_coordinates,933
ATM00135,Viman Nagar,18.567651540510635,73.91227737129239,Residential,Pune,1906,3130,Active,6,synthetic_expanded,synthetic_approximate,18.5679,73.9143,synthetic,unavailable_without_transaction_coordinates,967
ATM00136,Hadapsar,18.50727806177259,73.92250878226827,Mixed,Pune,1103,3579,Active,89,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,904
ATM00137,Hadapsar,18.51076141511746,73.92306845095564,Commercial,Pune,0,3277,Active,85,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,902
ATM00138,Aundh,18.55765143465757,73.80567662817207,Mixed,Pune,0,2529,Active,36,synthetic_expanded,synthetic_approximate,18.5579,73.8077,synthetic,unavailable_without_transaction_coordinates,965
ATM00139,Hadapsar,18.507786559171596,73.9251701442916,Residential,Pune,1977,2293,Active,21,synthetic_expanded,synthetic_approximate,18.5089,73.9235,synthetic,unavailable_without_transaction_coordinates,901
